Name,ParamList
genhyperbolic,"{'p': 6.957515753033297, 'a': 2.700648601274091, 'b': 2.7005474911248504, 'loc': -2.657299830109494, 'scale': 3.86684632450418e-05}"
lognorm,"{'s': 0.14238311343522542, 'loc': -6.9601809134719765, 'scale': 6.892842550583295}"
genhyperbolic,"{'p': 0.186606558408472, 'a': 0.2253208839405158, 'b': -0.01704177356962737, 'loc': 0.07142286927254554, 'scale': 0.25812048110038743}"
cauchy,"{'loc': 0.12175817598842797, 'scale': 0.3779764354295526}"
burr,"{'c': 9.380150496892963, 'd': 0.37151059688203375, 'loc': -3.3868070474828618, 'scale': 4.080172223231078}"
genhyperbolic,"{'p': 6.577315443898236, 'a': 0.5091044993411571, 'b': -0.10904699972183762, 'loc': 0.7701588929210734, 'scale': 0.13116637157511435}"
genhyperbolic,"{'p': -0.278287440887885, 'a': 1.412157612245871, 'b': 0.6700425608133607, 'loc': -0.5676959686299962, 'scale': 0.9220527321502496}"
genhyperbolic,"{'p': 3.1430309599878674, 'a': 0.33231814313926, 'b': 0.00744762587144899, 'loc': -0.04118001882583698, 'scale': 0.1329460738559697}"
genhyperbolic,"{'p': 3.042664871103546, 'a': 0.0038381227808537925, 'b': -0.00048236675169155245, 'loc': 0.32266061729516393, 'scale': 0.0015308517552090166}"
gennorm,"{'beta': 2.877706065864892, 'loc': 0.04698424102616852, 'scale': 1.6174544053600113}"
lognorm,"{'s': 0.25717359892163705, 'loc': -3.769505792692913, 'scale': 3.6456567917477347}"
genhyperbolic,"{'p': 1.4423541983019326, 'a': 1.6127633313481295, 'b': 0.765803990394997, 'loc': -0.8698563922637228, 'scale': 0.6109990676685073}"
burr,"{'c': 7.644707212192601, 'd': 0.42297347917812594, 'loc': -3.050175067210267, 'scale': 3.6360983406076017}"
genhyperbolic,"{'p': 1.1520764566649264, 'a': 0.5540758911765695, 'b': 0.01929523562192359, 'loc': -0.06489104371160874, 'scale': 0.34465946059538866}"
genhyperbolic,"{'p': 0.27010488184067805, 'a': 4.830447598675539e-15, 'b': 3.3166802489317956e-15, 'loc': -0.5497813312582119, 'scale': 3.3711745524116526e-15}"
norm,"{'loc': -0.007909649964603846, 'scale': 0.8661337585428865}"
expon,"{'loc': -0.1752578569696621, 'scale': 0.1690826640227445}"
genhyperbolic,"{'p': 0.6345628268520048, 'a': 0.9726087938376338, 'b': 0.9726087913567543, 'loc': -0.5449925366882367, 'scale': 2.1557252969439983e-09}"
genhyperbolic,"{'p': 0.6717659143337267, 'a': 1.372745106323967, 'b': 1.3727450705403839, 'loc': -0.16143723339830057, 'scale': 8.125684902058217e-09}"
genhyperbolic,"{'p': -0.15981044515769333, 'a': 3.446665269607785, 'b': 3.44662867101844, 'loc': -0.20984943808147072, 'scale': 0.00034488010308696463}"
expon,"{'loc': -0.11386818846191689, 'scale': 0.10452743862715025}"
expon,"{'loc': -0.08515994337054689, 'scale': 0.08575133186617567}"
genhyperbolic,"{'p': 0.8113567270962536, 'a': 1.3984964542923102, 'b': 1.3984964227455703, 'loc': -0.1893147566928169, 'scale': 7.126393606915917e-09}"
genhyperbolic,"{'p': 0.3699721341202259, 'a': 1.1399836821194471, 'b': 1.139983677773843, 'loc': -0.31869142412265206, 'scale': 3.6697647474156034e-09}"
expon,"{'loc': -0.0942238161092848, 'scale': 0.08298120168715427}"
gennorm,"{'beta': 0.34450337767033634, 'loc': 0.5003124805004553, 'scale': 0.0012129964836763707}"
burr,"{'c': 2.167686617701724, 'd': 0.10379154080024243, 'loc': -0.23182057667122363, 'scale': 0.34013500109380734}"
expon,"{'loc': -0.1102077537556002, 'scale': 0.10791175888569188}"
genhyperbolic,"{'p': 0.8820574728970605, 'a': 1.481904148270424, 'b': 1.48190411514668, 'loc': -0.19380319538463892, 'scale': 7.388776612473709e-09}"
burr,"{'c': 1.5580432770756285, 'd': 0.10006352539978303, 'loc': -0.9155519068396075, 'scale': 0.9966089985083344}"
burr,"{'c': 0.5035781667901047, 'd': 0.6066297253026787, 'loc': -1.0922373625454969, 'scale': 1.239807464916118}"
genhyperbolic,"{'p': 0.2610304567437608, 'a': 2.8212038482146538, 'b': 2.821203839604283, 'loc': -0.2944830893119388, 'scale': 9.695988063135287e-09}"
genhyperbolic,"{'p': 0.9540960667221423, 'a': 1.2602965323640245, 'b': 1.2602965115307725, 'loc': -0.23562768617739732, 'scale': 5.257912446403029e-09}"
genhyperbolic,"{'p': 0.6160447086538754, 'a': 1.6467476598794357, 'b': 1.6467476238771788, 'loc': -0.1691004045086972, 'scale': 9.328825772111466e-09}"
gennorm,"{'beta': 0.5378623262894542, 'loc': -0.23325398823654786, 'scale': 0.027908857987130144}"
gamma,"{'a': 0.32547837415428915, 'loc': -0.35407025272782383, 'scale': 1.4354310610318823}"
lognorm,"{'s': 6.473422818663369, 'loc': -1.080424389638259, 'scale': 1.3329581489595888}"
genhyperbolic,"{'p': 0.3681427865904981, 'a': 1.1476431118937533, 'b': 1.1476431073268907, 'loc': -0.30045757079637375, 'scale': 3.878464294675416e-09}"
burr,"{'c': 1.8733948168802574, 'd': 0.06401279969597004, 'loc': -0.24217589406702691, 'scale': 0.8563833462915564}"
chi2,"{'df': 0.8132862448190419, 'loc': -0.6515377383555396, 'scale': 0.2258135366015552}"
genhyperbolic,"{'p': 0.325631880602247, 'a': 1.600716426618749, 'b': 1.6007164219827472, 'loc': -0.3432463019576822, 'scale': 4.854894395513982e-09}"
expon,"{'loc': -0.13991374644300722, 'scale': 0.14027810515770262}"
expon,"{'loc': -0.04695583745901183, 'scale': 0.05869479682376478}"
expon,"{'loc': -0.08980265101339124, 'scale': 0.0813836524808858}"
gennorm,"{'beta': 0.5539339989491873, 'loc': -0.23845128434838447, 'scale': 0.00695164873924109}"
expon,"{'loc': -0.10050378152591681, 'scale': 0.08794080883517716}"
burr,"{'c': 1.4746556089347203, 'd': 0.23009100550691974, 'loc': -0.3741535514637842, 'scale': 0.6170752381191845}"
gennorm,"{'beta': 0.36662746756350895, 'loc': -0.412145964121558, 'scale': 0.0009383939016071364}"
gennorm,"{'beta': 0.3897479894686042, 'loc': -0.4959341290472553, 'scale': 0.0035013356788134147}"
expon,"{'loc': -0.1987486842749902, 'scale': 0.2000562414083783}"
burr,"{'c': 1.369264047628159, 'd': 0.18950849311368628, 'loc': -0.9588460755226275, 'scale': 1.1491942163847977}"
genhyperbolic,"{'p': 0.325631880602247, 'a': 1.600716426618749, 'b': 1.6007164219827472, 'loc': -0.3432463019576822, 'scale': 4.854894395513982e-09}"
expon,"{'loc': -0.08980265101339124, 'scale': 0.0813836524808858}"
gennorm,"{'beta': 0.5539339989491873, 'loc': -0.23845128434838447, 'scale': 0.00695164873924109}"
burr,"{'c': 1.4746556089347203, 'd': 0.23009100550691974, 'loc': -0.3741535514637842, 'scale': 0.6170752381191845}"
expon,"{'loc': -0.14787824267847036, 'scale': 0.15202436163207234}"
gennorm,"{'beta': 0.36662746756350895, 'loc': -0.412145964121558, 'scale': 0.0009383939016071364}"
expon,"{'loc': -0.1987486842749902, 'scale': 0.2000562414083783}"
expon,"{'loc': -0.06337242505244906, 'scale': 0.05149009535511488}"
expon,"{'loc': -0.15137125538162283, 'scale': 0.13684231792311888}"
